48013	1001	1
48020	1001	1
14013	1001	1
20069	1001	7
28079	1001	2
28092	1001	1
31201	1001	1
8298	1001	3
1059	1001	38
2003	1002	2
3014	1002	2
9018	1002	1
20055	1002	2
48013	1002	39
8019	1002	5
48015	1002	24
48020	1002	110
9059	1002	6
14021	1002	2
20069	1002	7
20030	1002	3
48902	1002	23
28058	1002	1
48036	1002	6
48044	1002	14
18087	1002	5
21041	1002	4
22125	1002	1
28074	1002	1
48054	1002	25
24089	1002	1
1036	1002	285
26089	1002	4
28079	1002	13
29067	1002	2
9219	1002	3
31201	1002	3
41086	1002	4
8200	1002	1
39075	1002	2
48082	1002	14
48084	1002	15
42173	1002	2
39087	1002	4
47186	1002	2
1059	1002	24
49275	1002	1
50297	1002	2
20055	1003	55
8019	1003	1
48020	1003	2
20069	1003	1
48027	1003	1
20030	1003	1
20067	1003	1
20045	1003	1
28079	1003	1
31201	1003	1
1059	1003	8
18087	1006	1
26089	1006	3
9219	1006	9
1059	1006	1
48020	1037	4
15030	1037	1
20069	1037	2
48036	1037	4
33024	1037	1
28079	1037	1
42173	1037	1
46250	1037	1
47186	1037	2
1059	1037	32
50297	1037	1
20055	1008	4
8019	1008	1
20069	1008	1
48044	1008	4
33024	1008	1
28079	1008	1
1059	1008	119
3014	1004	1
48013	1004	24
48015	1004	5
48020	1004	66
36008	1004	1
3063	1004	1
48902	1004	1
48036	1004	3
48044	1004	17
48054	1004	4
24089	1004	1
1036	1004	8
26089	1004	3
28079	1004	8
31201	1004	1
48078	1004	2
48082	1004	6
48084	1004	4
1059	1004	2
48020	1009	1
20069	1009	2
20030	1009	1
26089	1009	2
31201	1009	2
1059	1009	61
48013	1010	11
8019	1010	2
48015	1010	4
48020	1010	40
48027	1010	1
48902	1010	1
48036	1010	1
48044	1010	5
24089	1010	1
1036	1010	65
26089	1010	1
1059	1010	2
50297	1010	2
38006	1049	1
48013	1049	2
48020	1049	1
20030	1049	3
28079	1049	1
9219	1049	4
1059	1049	11
50297	1049	1
20055	1013	3
18087	1013	1
28079	1013	1
1059	1013	46
48015	1011	1
48020	1011	2
20069	1011	3
26089	1011	2
37274	1011	1
1059	1011	9
20030	1014	1
48044	1014	4
18087	1014	1
9219	1014	21
34120	1014	1
1059	1014	8
2003	1016	3
20055	1016	1
48020	1016	1
26089	1016	1
43123	1016	2
28148	1016	4
1059	1016	25
28005	1017	1
20055	1017	1
8019	1017	4
48015	1017	1
20030	1017	2
48902	1017	3
8102	1017	3
1036	1017	1
29067	1017	1
9219	1017	1
48078	1017	1
38038	1017	1
45168	1017	1
1059	1017	35
1059	1021	25
8019	1022	1
48020	1022	11
9059	1022	1
20069	1022	1
48027	1022	1
48036	1022	2
48054	1022	2
25120	1022	4
26089	1022	17
28079	1022	1
9219	1022	1
33044	1022	1
1059	1022	10
8019	1023	1
48015	1023	1
20030	1023	2
1036	1023	1
26089	1023	12
48082	1023	3
41091	1023	1
47186	1023	1
1059	1023	5
1059	1056	3
20069	1027	1
1059	1027	14
2003	1901	4
3014	1901	5
48013	1901	4
