2085	"Albacete"	"Viveros"	-2.574777	38.800277	928
2086	"Albacete"	"Yeste"	-2.347841	38.338306	5827
3001	"Alicante/Alacant"	"Adsubia"	-0.168733	38.859031	302
3002	"Alicante/Alacant"	"Agost"	-0.641651	38.44232	1951
3003	"Alicante/Alacant"	"Agres"	-0.511932	38.786915	1538
3004	"Alicante/Alacant"	"Aigües"	-0.363329	38.510067	0
3005	"Alicante/Alacant"	"Albatera"	-0.891871	38.215943	1934
3006	"Alicante/Alacant"	"Alcalalí"	-0.030991	38.755883	472
3007	"Alicante/Alacant"	"Alcocer de Planes"	-0.400637	38.795077	259
3008	"Alicante/Alacant"	"Alcoleja"	-0.327462	38.664893	923
3009	"Alicante/Alacant"	"Alcoy/Alcoi"	-0.516581	38.68228	19697
3010	"Alicante/Alacant"	"Alfafara"	-0.563743	38.780872	597
3011	"Alicante/Alacant"	"Alfàs del Pi. l'"	-0.08871	38.57833	941
3012	"Alicante/Alacant"	"Algorfa"	-0.786859	38.064028	172
3013	"Alicante/Alacant"	"Algueña"	-1.004073	38.343592	0
3014	"Alicante/Alacant"	"Alicante/Alacant"	-0.537672	38.382402	19021
3015	"Alicante/Alacant"	"Almoradí"	-0.791489	38.072093	2351
3016	"Alicante/Alacant"	"Almudaina"	-0.357822	38.764179	403
3017	"Alicante/Alacant"	"Alqueria d'Asnar. l'"	-0.418828	38.770245	118
3018	"Alicante/Alacant"	"Altea"	-0.047241	38.625338	5502
3019	"Alicante/Alacant"	"Aspe"	-0.78531	38.329529	7029
3020	"Alicante/Alacant"	"Balones"	-0.333205	38.744141	254
3021	"Alicante/Alacant"	"Banyeres de Mariola"	-0.677876	38.705489	2236
3022	"Alicante/Alacant"	"Benasau"	-0.337883	38.695737	674
3023	"Alicante/Alacant"	"Beneixama"	-0.7606	38.722174	1511
3024	"Alicante/Alacant"	"Benejúzar"	-0.83195	38.073671	1260
3025	"Alicante/Alacant"	"Benferri"	-0.983126	38.15177	520
3026	"Alicante/Alacant"	"Beniarbeig"	-0.011582	38.817554	520
3027	"Alicante/Alacant"	"Beniardá"	-0.214282	38.696045	1012
3028	"Alicante/Alacant"	"Beniarrés"	-0.36309	38.825624	864
3030	"Alicante/Alacant"	"Benidoleig"	-0.027008	38.792291	378
3031	"Alicante/Alacant"	"Benidorm"	-0.128886	38.554896	4502
3032	"Alicante/Alacant"	"Benifallim"	-0.411667	38.65496	544
3033	"Alicante/Alacant"	"Benifato"	-0.241253	38.66028	253
3029	"Alicante/Alacant"	"Benigembla"	-0.115806	38.746868	575
3034	"Alicante/Alacant"	"Benijófar"	-0.740867	38.074922	421
3035	"Alicante/Alacant"	"Benilloba"	-0.395696	38.705684	1226
3036	"Alicante/Alacant"	"Benillup"	-0.379962	38.756359	171
3037	"Alicante/Alacant"	"Benimantell"	-0.202697	38.645541	984
3038	"Alicante/Alacant"	"Benimarfull"	-0.391551	38.775334	439
3039	"Alicante/Alacant"	"Benimassot"	-0.298751	38.753848	276
3040	"Alicante/Alacant"	"Benimeli"	-0.035786	38.82919	380
3041	"Alicante/Alacant"	"Benissa"	0.037895	38.6923	3678
3042	"Alicante/Alacant"	"Benitachell/Poble Nou de Benitatxell. el"	0.148668	38.724624	1035
3043	"Alicante/Alacant"	"Biar"	-0.747947	38.644532	2963
3044	"Alicante/Alacant"	"Bigastro"	-0.895407	38.060211	1031
3045	"Alicante/Alacant"	"Bolulla"	-0.121263	38.68487	857
3046	"Alicante/Alacant"	"Busot"	-0.418476	38.500946	1250
3049	"Alicante/Alacant"	"Callosa de Segura"	-0.871064	38.134188	2904
3048	"Alicante/Alacant"	"Callosa d'En Sarrià"	-0.104285	38.653356	4328
3047	"Alicante/Alacant"	"Calp"	0.044236	38.652636	1320
3050	"Alicante/Alacant"	"Campello. el"	-0.372939	38.462142	0
3051	"Alicante/Alacant"	"Campo de Mirra/Camp de Mirra. el"	-0.801993	38.703685	1473
3052	"Alicante/Alacant"	"Cañada"	-0.821741	38.685559	0
3053	"Alicante/Alacant"	"Castalla"	-0.670612	38.567969	3022
3054	"Alicante/Alacant"	"Castell de Castells"	-0.187071	38.735028	920
3075	"Alicante/Alacant"	"Castell de Guadalest. el"	-0.16834	38.670221	486
3055	"Alicante/Alacant"	"Catral"	-0.797562	38.152361	2268
3056	"Alicante/Alacant"	"Cocentaina"	-0.44689	38.7375	5972
3057	"Alicante/Alacant"	"Confrides"	-0.276635	38.679212	628
3058	"Alicante/Alacant"	"Cox"	-0.899867	38.143753	1132
3059	"Alicante/Alacant"	"Crevillent"	-0.814325	38.234637	7226
3061	"Alicante/Alacant"	"Daya Nueva"	-0.762916	38.109842	209
3062	"Alicante/Alacant"	"Daya Vieja"	-0.735062	38.105747	0
3063	"Alicante/Alacant"	"Dénia"	0.079777	38.824086	2619
3064	"Alicante/Alacant"	"Dolores"	-0.754922	38.138894	2433
3065	"Alicante/Alacant"	"Elche/Elx"	-0.664703	38.247176	18068
3066	"Alicante/Alacant"	"Elda"	-0.820687	38.474903	3846
3067	"Alicante/Alacant"	"Facheca"	-0.274359	38.731563	249
3068	"Alicante/Alacant"	"Famorca"	-0.240592	38.730585	204
3069	"Alicante/Alacant"	"Finestrat"	-0.203391	38.574181	2633
3077	"Alicante/Alacant"	"Fondó de les Neus. el/Hondón de las Nieves"	-0.895061	38.307763	1378
3070	"Alicante/Alacant"	"Formentera del Segura"	-0.7364	38.094227	680
3072	"Alicante/Alacant"	"Gaianes"	-0.410837	38.81593	496
3071	"Alicante/Alacant"	"Gata de Gorgos"	0.069843	38.768058	1645
3073	"Alicante/Alacant"	"Gorga"	-0.373778	38.722161	532
3074	"Alicante/Alacant"	"Granja de Rocamora"	-0.894591	38.154702	708
3076	"Alicante/Alacant"	"Guardamar del Segura"	-0.668963	38.080964	2237
3078	"Alicante/Alacant"	"Hondón de los Frailes"	-0.932234	38.268956	0
3079	"Alicante/Alacant"	"Ibi"	-0.562986	38.62487	2988
3080	"Alicante/Alacant"	"Jacarilla"	-0.85172	38.047929	283
3082	"Alicante/Alacant"	"Jávea/Xàbia"	0.163206	38.767414	3654
3083	"Alicante/Alacant"	"Jijona/Xixona"	-0.489616	38.551089	4795
3085	"Alicante/Alacant"	"Llíber"	0.008093	38.729492	542
3084	"Alicante/Alacant"	"Lorcha/Orxa. l'"	-0.308658	38.849685	875
3086	"Alicante/Alacant"	"Millena"	-0.378432	38.740351	384
3088	"Alicante/Alacant"	"Monforte del Cid"	-0.695004	38.384992	3158
3089	"Alicante/Alacant"	"Monóvar/Monòver"	-0.912462	38.428558	7590
3903	"Alicante/Alacant"	"Montesinos. Los"	-0.754964	38.024694	0
3091	"Alicante/Alacant"	"Murla"	-0.077011	38.765895	490
3092	"Alicante/Alacant"	"Muro de Alcoy"	-0.446125	38.788715	2786
3090	"Alicante/Alacant"	"Mutxamel"	-0.474919	38.434408	3654
3093	"Alicante/Alacant"	"Novelda"	-0.786129	38.394262	8095
3094	"Alicante/Alacant"	"Nucia. la"	-0.12024	38.601112	1998
3095	"Alicante/Alacant"	"Ondara"	0.015075	38.826978	7280
3096	"Alicante/Alacant"	"Onil"	-0.660997	38.633355	2690
3097	"Alicante/Alacant"	"Orba"	-0.066167	38.785082	636
3099	"Alicante/Alacant"	"Orihuela"	-0.909404	38.067233	17452
3098	"Alicante/Alacant"	"Orxeta"	-0.279762	38.553518	876
3100	"Alicante/Alacant"	"Parcent"	-0.073883	38.739188	570
3101	"Alicante/Alacant"	"Pedreguer"	0.031469	38.793461	2635
3102	"Alicante/Alacant"	"Pego"	-0.099964	38.843667	5565
3103	"Alicante/Alacant"	"Penàguila"	-0.373495	38.658146	1280
3104	"Alicante/Alacant"	"Petrer"	-0.731563	38.49221	2537
3902	"Alicante/Alacant"	"Pilar de la Horadada"	-0.829587	37.899841	0
3105	"Alicante/Alacant"	"Pinós. el/Pinoso"	-1.029058	38.412306	2304
3106	"Alicante/Alacant"	"Planes"	-0.331585	38.792285	1641
3901	"Alicante/Alacant"	"Poblets. els"	0.017792	38.854716	0
3107	"Alicante/Alacant"	"Polop"	-0.152446	38.62079	1902
3060	"Alicante/Alacant"	"Quatretondeta"	-0.314529	38.716601	481
3109	"Alicante/Alacant"	"Rafal"	-0.848076	38.106925	332
3110	"Alicante/Alacant"	"Ràfol d'Almúnia. el"	-0.050921	38.830799	429
3111	"Alicante/Alacant"	"Redován"	-0.921507	38.12233	504
3112	"Alicante/Alacant"	"Relleu"	-0.339473	38.57136	2435
3113	"Alicante/Alacant"	"Rojales"	-0.718886	38.073951	2224
3114	"Alicante/Alacant"	"Romana. la"	-0.907853	38.355161	0
3115	"Alicante/Alacant"	"Sagra"	-0.066836	38.818131	552
3116	"Alicante/Alacant"	"Salinas"	-0.910474	38.507813	708
3118	"Alicante/Alacant"	"San Fulgencio"	-0.693286	38.125653	974
3904	"Alicante/Alacant"	"San Isidro"	-0.842191	38.174793	0
3120	"Alicante/Alacant"	"San Miguel de Salinas"	-0.803117	37.974848	994
3122	"Alicante/Alacant"	"San Vicente del Raspeig/Sant Vicent del Raspeig"	-0.534442	38.427089	4647
3117	"Alicante/Alacant"	"Sanet y Negrals"	-0.028858	38.815688	382
3119	"Alicante/Alacant"	"Sant Joan d'Alacant"	-0.428478	38.40459	3773
3121	"Alicante/Alacant"	"Santa Pola"	-0.5773	38.203508	2215
3123	"Alicante/Alacant"	"Sax"	-0.813331	38.548457	2195
3124	"Alicante/Alacant"	"Sella"	-0.278797	38.617952	1670
3125	"Alicante/Alacant"	"Senija"	0.044286	38.734436	482
3127	"Alicante/Alacant"	"Tàrbena"	-0.096578	38.707183	1973
3128	"Alicante/Alacant"	"Teulada"	0.114471	38.711866	1638
3129	"Alicante/Alacant"	"Tibi"	-0.59432	38.521479	1571
3130	"Alicante/Alacant"	"Tollos"	-0.247393	38.762705	253
3131	"Alicante/Alacant"	"Tormos"	-0.072811	38.803826	438
3132	"Alicante/Alacant"	"Torremanzanas/Torre de les Maçanes. la"	-0.411478	38.604848	1106
3133	"Alicante/Alacant"	"Torrevieja"	-0.704734	38.000228	3876
3134	"Alicante/Alacant"	"Vall d'Alcalà. la"	-0.253745	38.788324	339
3136	"Alicante/Alacant"	"Vall de Gallinera"	-0.232132	38.829608	1616
3137	"Alicante/Alacant"	"Vall de Laguar. la"	-0.130878	38.775058	1130
3135	"Alicante/Alacant"	"Vall d'Ebo. la"	-0.170419	38.800477	417
3138	"Alicante/Alacant"	"Verger. el"	-0.004757	38.850604	977
3139	"Alicante/Alacant"	"Villajoyosa/Vila Joiosa. la"	-0.251489	38.521191	8097
3140	"Alicante/Alacant"	"Villena"	-0.913908	38.634009	8224
3081	"Alicante/Alacant"	"Xaló"	-0.031086	38.712526	2276
4001	"Almería"	"Abla"	-2.766766	37.162399	2117
4002	"Almería"	"Abrucena"	-2.826158	37.130608	1268
4003	"Almería"	"Adra"	-3.050548	36.772227	7400
4004	"Almería"	"Albánchez"	-2.160724	37.284847	2190
4005	"Almería"	"Alboloduy"	-2.628503	37.062492	2067
4006	"Almería"	"Albox"	-2.136019	37.450015	7425
4007	"Almería"	"Alcolea"	-2.990376	36.93868	1896
4008	"Almería"	"Alcóntar"	-2.623453	37.313603	0
4009	"Almería"	"Alcudia de Monteagud"	-2.255054	37.234074	532
4010	"Almería"	"Alhabia"	-2.560624	36.994009	1492
4011	"Almería"	"Alhama de Almería"	-2.575115	36.945469	2384
4012	"Almería"	"Alicún"	-2.603742	36.949853	545
4013	"Almería"	"Almería"	-2.342312	36.87567	17800
4014	"Almería"	"Almócita"	-2.802106	36.964394	706
4015	"Almería"	"Alsodux"	-2.589577	37.024831	400
4016	"Almería"	"Antas"	-1.953585	37.253351	2300
4017	"Almería"	"Arboleas"	-2.084054	37.353102	2378
4018	"Almería"	"Armuña de Almanzora"	-2.416141	37.356647	272
4019	"Almería"	"Bacares"	-2.476933	37.252037	1363
4020	"Almería"	"Bayárcal"	-2.99462	37.055194	700
4021	"Almería"	"Bayarque"	-2.447644	37.314568	629
4022	"Almería"	"Bédar"	-1.992889	37.177297	2000
4023	"Almería"	"Beires"	-2.808656	37.042965	654
4024	"Almería"	"Benahadux"	-2.473946	36.91604	740
4026	"Almería"	"Benitagla"	-2.226039	37.235218	260
4027	"Almería"	"Benizalón"	-2.217378	37.202932	610
4028	"Almería"	"Bentarique"	-2.65044	36.963058	864
4029	"Almería"	"Berja"	-2.959355	36.843627	8709
4030	"Almería"	"Canjáyar"	-2.735198	36.991409	2200
